pk,title,genre,release_date,poster_path,overview
249,삼각형의 마음,다큐멘터리,,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230418_179%2F1681793678583VxttK_PNG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"배우들로만 이루어진 산악회인 ‘맘 산악회’는 15년째 매주 북한산에만 오르고 있다. 극장이 쉬는 월요일에 혼자 있지 말자며 배우 손병호를 중심으로 모이기 시작해, 산악회를 오고 간 배우가 백여 명이 넘는다. 모두가 다른 위치에서, 각자의 마음에 아픔과 꿈과 목표를 품고 함께 서울을 지키고 있는 큰 산을 오른다."
250,여름날 우리,"코미디,멜로/로맨스",20210825,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230502_105%2F1683013411425r1JTn_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"처음이었다, 사랑이 싹트는 기분 너에게 풍덩 빠져버렸던 17살의 여름. 너를 두고 아무 것도 할 수 없었던 21살의 여름. 그리고 몇 번의 여름이 지나고 다시 만난 너, 이젠 놓치지 않을 거야. “널 만난 건 내 인생 최고의 행운이었어”"
251,카일리 블루스,"드라마,미스터리",20230524,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230502_218%2F1683013551243BPmWN_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"안개가 자욱한 도시 카일리. 의사 겸 시인 천성은 그곳에서 유령 같은 삶을 살고 있다. 꿈에서 연거푸 돌아가신 어머니를 마주한 천성은 버려진 조카를 찾기 위해 카일리를 떠나 전위안으로 향한다. 그길에서 당마이라는 자그마한 마을을 통과하게 되고 천성의 과거, 현재, 미래가 꿈결 같이 뒤섞이기 시작한다."
252,더 히어로: 저스티스 작전,"전쟁,드라마",,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220831_33%2F1661927667045m0YK1_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"50년이 넘도록 이어져 온 콜롬비아 내 무력 충돌이 세 청년의 운명에도 드리운다. 군대에 억지로 끌려간 불량배, 군대에 잠입한 게릴라, 농민이었던 소녀는 상관의 명령을 따라 전장에 나간다. 세 청년들은 서로 알지도 못하고 미워하지도 않는 사람들과 목숨을 걸고 싸운다."
253,제로웨이스트,다큐멘터리,,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230420_228%2F1681978307081k5ReY_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"<제로웨이스트>는 코로나 19이후 기하급수적으로 늘어난 플라스틱 쓰레기 문제에 맞서 싸우는 4명의 환경운동가, 학생, 전문가들을 통해 과연 우리는 플라스틱 재활용을 그동안 제대로 해오고 있었는지 돌아본다. 제로웨이스트의 실천을 위해 창의적인 방법으로 업사이클링을 시도 하는 오늘날 우리사회의 체인지 메이커들을 집중 조명하는 관찰 다큐멘터리이다."
254,해적 : 결전의 서막,"액션,사극,전쟁",,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230413_16%2F16813532081305jcB5_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,해적의 습격을 받은 소찬은 적들의 소탕을 결심하지만 부패한 정부와 결탁한 적들에게 크게 고전을 하고 결국 동료마저 인질로 붙잡히게 된다. 소찬은 힘을 모아 최후의 결전을 준비한다.
255,혐오의 스타,드라마,,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20210727_251%2F1627367069372c6t6u_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,서로 다른 체형 컴플렉스를 지닌 주인공들이 우연히 만나 위로받는 이야기를 그린 영화
256,마인드케이지,"범죄,드라마,스릴러,공포(호러)",,https://media.istockphoto.com/id/499642119/ko/%EB%B2%A1%ED%84%B0/%EC%82%AC%EC%9A%A9-%EA%B0%80%EB%8A%A5%ED%95%9C-%EC%82%AC%EC%A7%84-%EC%97%86%EC%9D%8C-%EB%98%90%EB%8A%94-%EB%AF%B8%EC%8B%B1-%EC%9D%B4%EB%AF%B8%EC%A7%80.webp?s=612x612&w=is&k=20&c=7c0_XObaB51UOyiKd0n0Vh7DYElthNtjazmmQyHvVhA=,여성을 납치 살인했던 연쇄 살인범의 모방범죄를 해결하려는 형사들의 이야기를 다룬 영화
257,스몰 월드,액션,,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230405_12%2F1680679430148igV4Y_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"러시아와 인접한 폴란드 국경 마을, 누군가에 의해 4살 여자아이 '올라'가 러시아로 납치된다. 납치범을 쫓아 러시아로 넘어간 형사 로버트는 올라가 국제 아동 성착취 조직에 팔려간 것을 알게 되고 필사적으로 올라의 흔적을 추적해 나간다. 하지만 올라는 연이어 여러 나라로 팔려가고 추적을 거듭하던 로버트는 예상치 못했던 거대한 조직의 실체와 마주하게 되는데..."
258,항구의 니쿠코짱!,애니메이션,20230427,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230411_26%2F1681190684121Ej4fw_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"“보통날이 제일 좋은 거야!” 평범한 인생도 ‘갓생’으로 만드는 무한 긍정 에너지 ‘니쿠코짱’. 정이 많아 허다한 날 남자에게 속는 그녀는 사라진 남자를 찾아 딸 ‘키쿠코’와 함께 작은 항구 마을에 도착하고, 그곳에서 운명의 고깃집(!)을 만난 후 마을에 정착하기로 결심한다. 그리고 어느덧 항구 마을에서 사춘기를 맞이한 딸 ‘키쿠코’는 어김없이 마을 최강 인싸력을 발휘하는 ‘니쿠코짱’이 요즘 들어 부끄럽다. “키쿠코, 오늘은 어떤 날이었어?” 잘 먹고, 잘 싸고, 잘 자고, 평범한 날이 최고라는 ‘니쿠코짱’을 도저히 이해할 수 없는 ‘키쿠코’. 그런 딸의 속도 모르고 ‘니쿠코짱’은 밤마다 누군가와 비밀스러운 통화까지?! 달라도 너무 다른 두 모녀 사이는 좀처럼 좁혀질 기미가 없는 가운데, 어느 날 둘 사이를 바꿔 놓을 뜻밖의 비밀이 밝혀지는데…! 두 모녀의 별일 없는 하루가 모인 맛난 인생 이야기! 마음의 공복을 채워줄 사랑스러운 그녀가 온다!"
